state,county,avg_price,total_price,total_transactions
North Carolina,Buncombe County,464536.6929824561,1165058026.0,2508.0
North Carolina,Swain County,216070.06766917295,86211957.0,399.0
North Carolina,Mitchell County,216202.536121673,56861267.0,263.0
North Carolina,Jackson County,442557.67372549017,564261034.0,1275.0
North Carolina,Transylvania County,368036.58116232464,367300508.0,998.0
North Carolina,Henderson County,359037.7511312217,555431401.0,1547.0
North Carolina,Yancey County,368902.34444444446,132804844.0,360.0
North Carolina,Haywood County,237890.53787878787,314015510.0,1320.0
North Carolina,Polk County,415225.59496567503,181453585.0,437.0
North Carolina,Graham County,265888.0266666667,39883204.0,150.0
North Carolina,Macon County,355872.13282001927,369751146.0,1039.0
North Carolina,McDowell County,172162.15384615384,114143508.0,663.0
North Carolina,Madison County,276496.64444444445,136865839.0,495.0
North Carolina,Cherokee County,180589.61149110808,264022012.0,1462.0
North Carolina,Clay County,113734.0595581172,118397156.0,1041.0
South Carolina,Clarendon County,249632.3445692884,66651836.0,267.0
South Carolina,Richland County,291203.07570422534,165403347.0,568.0
South Carolina,Bamberg County,143666.47727272726,6321325.0,44.0
South Carolina,Lexington County,353711.92045454547,186759894.0,528.0
South Carolina,Kershaw County,325289.0686695279,75792353.0,233.0
South Carolina,Lee County,130915.12121212122,4320199.0,33.0
South Carolina,Chester County,206878.0634920635,39099954.0,189.0
South Carolina,Fairfield County,229074.77777777778,20616730.0,90.0
South Carolina,Orangeburg County,212748.35903083702,96587755.0,455.0
South Carolina,Calhoun County,199862.96296296295,5396300.0,27.0
South Carolina,Union County,196753.47826086957,13575990.0,69.0
South Carolina,Newberry County,254643.3381294964,35395424.0,139.0
South Carolina,Sumter County,214536.26914893618,201664093.0,940.0
South Carolina,Williamsburg County,197738.5462962963,21355763.0,108.0
South Carolina,Lancaster County,439492.21079046425,350275292.0,797.0
South Carolina,Darlington County,154149.74480712166,51948464.0,337.0
South Carolina,Colleton County,306761.7670250896,85586533.0,279.0
South Carolina,Chesterfield County,171769.36231884058,35556258.0,207.0
South Carolina,Aiken County,268948.9862676056,763815121.0,2840.0
South Carolina,Florence County,238960.21393034825,240155015.0,1005.0
South Carolina,Saluda County,355612.3,10668369.0,30.0
South Carolina,Spartanburg County,288267.23703066783,1005764390.0,3501.0
South Carolina,Laurens County,214348.4347826087,88740252.0,414.0
South Carolina,Cherokee County,302121.4674329502,78853703.0,261.0
South Carolina,Charleston County,990133.4447126992,2050566364.0,2071.0
South Carolina,Berkeley County,450657.08496732026,344752670.0,765.0
South Carolina,Dorchester County,447893.0717185386,330992980.0,739.0
South Carolina,Georgetown County,435997.0622222222,294298017.0,675.0
South Carolina,Horry County,382215.2984310048,2445795694.66,6415.0
South Carolina,Marlboro County,116607.65811965812,13643096.0,117.0
South Carolina,Marion County,164608.3062200957,34403136.0,209.0
South Carolina,Dillon County,217075.25714285715,37988170.0,175.0
South Carolina,Greenville County,369392.04575056984,2268805945.0,6172.0
South Carolina,Abbeville County,192951.0279329609,34538234.0,179.0
South Carolina,Anderson County,268218.2062122519,310864901.0,1161.0
South Carolina,Pickens County,364021.7394084732,455391196.0,1251.0
South Carolina,Oconee County,295114.1560218978,323445115.0,1096.0
South Carolina,Greenwood County,216146.51424050634,136604597.0,635.0
South Carolina,York County,398679.0381400209,763071679.0,1916.0
